Kabupaten_Kota,Tingkat_Penduduk_Miskin,Rata-rata Lama Sekolah,Indeks Pembangunan Gender,Usia Harapan Hidup,PengeluaranPerKapita,Harapan Lama Sekolah,Produk Domestik Regional Bruto,Indeks Kemahalan Konstruksi,PengeluaranPerkapita_Rokok
Simeulue,17.69,9.89,79.78,65.73,8106,14.53,3150.76,108.8,22876
Aceh Singkil,19.06,8.72,85.51,67.89,9862,14.36,3441.08,94.32,24703
Aceh Selatan,12.02,8.92,92.24,64.97,9190,14.71,7466.23,98.65,22777
Aceh Tenggara,11.99,10.1,93.28,68.78,8876,14.47,6737.89,93.43,24582
Aceh Timur,13.26,8.48,87.26,69.18,9889,13.08,14935.34,95.47,28377
Aceh Tengah,14.27,10.03,97.89,69.3,11805,15.03,10721.42,100.11,28471
Aceh Barat,17.6,9.99,86.67,68.48,10548,14.93,14053.24,93.49,30301
Aceh Besar,13.21,10.37,95.37,70.29,10810,14.77,18412.05,95.73,20848
Pidie,18.59,9.04,93.98,67.41,11187,14.52,14549.43,92.66,18355
Bireuen,12.1,9.59,95.09,71.83,10150,14.88,18380.96,94.12,18276
Aceh Utara,16.11,9.11,93.36,69.28,9374,14.75,30083.73,102.71,16916
Aceh Barat Daya,15.32,8.78,90.44,65.65,9559,13.69,5367.93,92.68,27257
Gayo Lues,18.3,8.44,90.08,66.03,9967,14.59,3583.01,94.18,28080
Aceh Tamiang,12.17,9.3,82.66,70.21,9529,14.51,11542.4,94.91,18310
Nagan Raya,16.94,9.25,91.32,69.75,9523,14.18,12431.71,97.41,27762
Aceh Jaya,12.25,9.02,90.12,67.69,11007,14.06,3606.65,98.86,35104
Bener Meriah,18.18,10.13,96.73,69.79,12360,13.73,6520.63,96.4,34668
Pidie Jaya,18.28,9.59,95.28,70.77,11274,15.01,4724.84,92.33,23881
Kota Banda Aceh,6.95,13.1,96.18,72.17,18100,17.94,26025.15,94.74,23781
Kota Sabang,14.58,11.22,95.74,71.17,12625,14.97,1861.1,102.78,25522
Kota Langsa,10.33,11.28,95.88,69.92,13133,15.71,7323.86,92.08,19039
Kota Lhokseumawe,10.44,11.31,95.73,72.25,12694,15.55,11848.24,100.91,17767
Kota Subulussalam,16.38,8.43,85.88,64.51,8491,15.31,2761.85,97.17,26564
Nias,14.89,6.4,91.22,70.52,7698,13.31,5304.62,110.03,12743
Mandailing Natal,8.69,9.11,93.88,63.65,10644,13.87,20279.38,93.25,24819
Tapanuli Selatan,6.92,9.56,90.75,65.74,12213,13.72,21276.31,93.67,23791
Tapanuli Tengah,11.8,8.92,95.38,68.18,11128,13.5,13671.28,100.58,24529
Tapanuli Utara,8.21,10.31,97.69,69.77,12382,13.74,11279.15,94.53,28254
Toba Samosir,8.07,10.77,98.24,71.42,12960,13.6,10284.43,94.11,26361
Labuhan Batu,7.84,9.5,90.85,70.99,12102,13.26,50801.78,96.25,28151
Asahan,8.12,8.85,92.06,69.27,12301,12.65,57457.93,93.06,27138
Simalungun,7.72,9.73,93.41,72.38,12119,13.09,58906.11,96.2,26164
Dairi,7.1,9.89,98.37,70.27,11355,13.53,12693.88,101.58,28684
Karo,7.37,10.12,96.49,72.44,13278,13.26,28867.89,100.54,40050
Deli Serdang,3.44,10.29,92.15,72.48,13279,13.4,151451.4,89.32,20631
Langkat,9.04,8.74,89.05,69.9,12080,13.28,62411.48,94.62,25720
Nias Selatan,16.32,6.52,89.84,69.8,7730,12.92,9128.45,110.59,10470
Humbang Hasundutan,8.44,10.13,97.42,70.49,8844,13.46,8272.39,97.48,23584
Pakpak Bharat,6.87,9.73,99.2,67.24,9158,13.91,1718.75,99.12,26207
Samosir,11.63,9.61,96.93,72.41,9634,13.52,6100.41,103.17,30038
Serdang Bedagai,6.97,9.12,89.07,69.83,12015,12.65,42012.01,93.59,19610
